Timestamp,Provider,Counter Name,Counter Type,Mean/Increment
09/05/2026 19:10:56,System.Runtime,dotnet.gc.last_collection.heap.fragmentation.size (By)[gc.heap.generation=poh],Metric,135960
09/05/2026 19:10:56,System.Runtime,dotnet.gc.last_collection.heap.fragmentation.size (By)[gc.heap.generation=loh],Metric,32
09/05/2026 19:10:56,System.Runtime,dotnet.gc.last_collection.heap.fragmentation.size (By)[gc.heap.generation=gen0],Metric,190272
09/05/2026 19:10:56,System.Runtime,dotnet.gc.last_collection.heap.fragmentation.size (By)[gc.heap.generation=gen1],Metric,17520
09/05/2026 19:10:56,System.Runtime,dotnet.gc.last_collection.heap.fragmentation.size (By)[gc.heap.generation=gen2],Metric,56
09/05/2026 19:10:56,System.Runtime,dotnet.gc.last_collection.memory.committed_size (By),Metric,10764288
09/05/2026 19:10:56,System.Runtime,dotnet.process.cpu.count ({cpu}),Metric,16
09/05/2026 19:10:56,System.Runtime,dotnet.assembly.count ({assembly}),Metric,144
09/05/2026 19:10:56,System.Runtime,dotnet.timer.count ({timer}),Metric,2
09/05/2026 19:10:56,System.Runtime,dotnet.gc.last_collection.heap.size (By)[gc.heap.generation=poh],Metric,218920
09/05/2026 19:10:56,System.Runtime,dotnet.gc.last_collection.heap.size (By)[gc.heap.generation=loh],Metric,98384
09/05/2026 19:10:56,System.Runtime,dotnet.gc.last_collection.heap.size (By)[gc.heap.generation=gen0],Metric,198592
09/05/2026 19:10:56,System.Runtime,dotnet.gc.last_collection.heap.size (By)[gc.heap.generation=gen1],Metric,1118264
09/05/2026 19:10:56,System.Runtime,dotnet.gc.last_collection.heap.size (By)[gc.heap.generation=gen2],Metric,3040600
09/05/2026 19:10:56,System.Runtime,dotnet.process.memory.working_set (By),Metric,260374528
09/05/2026 19:10:57,System.Runtime,dotnet.gc.last_collection.heap.fragmentation.size (By)[gc.heap.generation=poh],Metric,135960
09/05/2026 19:10:57,System.Runtime,dotnet.gc.last_collection.heap.fragmentation.size (By)[gc.heap.generation=loh],Metric,32
09/05/2026 19:10:57,System.Runtime,dotnet.gc.last_collection.heap.fragmentation.size (By)[gc.heap.generation=gen0],Metric,190272
09/05/2026 19:10:57,System.Runtime,dotnet.gc.last_collection.heap.fragmentation.size (By)[gc.heap.generation=gen1],Metric,17520
09/05/2026 19:10:57,System.Runtime,dotnet.gc.last_collection.heap.fragmentation.size (By)[gc.heap.generation=gen2],Metric,56
09/05/2026 19:10:57,System.Runtime,dotnet.thread_pool.thread.count ({thread} / 1 sec),Rate,1
09/05/2026 19:10:57,System.Runtime,dotnet.jit.compiled_methods ({method} / 1 sec),Rate,194
09/05/2026 19:10:57,System.Runtime,dotnet.gc.last_collection.memory.committed_size (By),Metric,10764288
09/05/2026 19:10:57,System.Runtime,dotnet.process.cpu.count ({cpu}),Metric,16
09/05/2026 19:10:57,System.Runtime,dotnet.assembly.count ({assembly}),Metric,144
09/05/2026 19:10:57,System.Runtime,dotnet.thread_pool.queue.length ({work_item} / 1 sec),Rate,0
09/05/2026 19:10:57,System.Runtime,dotnet.timer.count ({timer}),Metric,2
09/05/2026 19:10:57,System.Runtime,dotnet.monitor.lock_contentions ({contention} / 1 sec),Rate,8
09/05/2026 19:10:57,System.Runtime,dotnet.gc.pause.time (s / 1 sec),Rate,0
09/05/2026 19:10:57,System.Runtime,dotnet.thread_pool.work_item.count ({work_item} / 1 sec),Rate,159
09/05/2026 19:10:57,System.Runtime,dotnet.jit.compilation.time (s / 1 sec),Rate,0.19760450000000063
09/05/2026 19:10:57,System.Runtime,dotnet.gc.last_collection.heap.size (By)[gc.heap.generation=poh],Metric,218920
09/05/2026 19:10:57,System.Runtime,dotnet.gc.last_collection.heap.size (By)[gc.heap.generation=loh],Metric,98384
09/05/2026 19:10:57,System.Runtime,dotnet.gc.last_collection.heap.size (By)[gc.heap.generation=gen0],Metric,198592
09/05/2026 19:10:57,System.Runtime,dotnet.gc.last_collection.heap.size (By)[gc.heap.generation=gen1],Metric,1118264
09/05/2026 19:10:57,System.Runtime,dotnet.gc.last_collection.heap.size (By)[gc.heap.generation=gen2],Metric,3040600
09/05/2026 19:10:57,System.Runtime,dotnet.jit.compiled_il.size (By / 1 sec),Rate,12157
09/05/2026 19:10:57,System.Runtime,dotnet.gc.collections ({collection} / 1 sec)[gc.heap.generation=gen0],Rate,0
09/05/2026 19:10:57,System.Runtime,dotnet.gc.collections ({collection} / 1 sec)[gc.heap.generation=gen1],Rate,0
09/05/2026 19:10:57,System.Runtime,dotnet.gc.collections ({collection} / 1 sec)[gc.heap.generation=gen2],Rate,0
09/05/2026 19:10:57,System.Runtime,dotnet.process.memory.working_set (By),Metric,260722688
09/05/2026 19:10:57,System.Runtime,dotnet.gc.heap.total_allocated (By / 1 sec),Rate,711976
09/05/2026 19:10:57,System.Runtime,dotnet.process.cpu.time (s / 1 sec)[cpu.mode=system],Rate,0.03241399999999994
09/05/2026 19:10:57,System.Runtime,dotnet.process.cpu.time (s / 1 sec)[cpu.mode=user],Rate,0.25818900000000156
09/05/2026 19:10:58,System.Runtime,dotnet.gc.last_collection.heap.fragmentation.size (By)[gc.heap.generation=poh],Metric,135960
09/05/2026 19:10:58,System.Runtime,dotnet.gc.last_collection.heap.fragmentation.size (By)[gc.heap.generation=loh],Metric,32
09/05/2026 19:10:58,System.Runtime,dotnet.gc.last_collection.heap.fragmentation.size (By)[gc.heap.generation=gen0],Metric,190272
09/05/2026 19:10:58,System.Runtime,dotnet.gc.last_collection.heap.fragmentation.size (By)[gc.heap.generation=gen1],Metric,17520
09/05/2026 19:10:58,System.Runtime,dotnet.gc.last_collection.heap.fragmentation.size (By)[gc.heap.generation=gen2],Metric,56
09/05/2026 19:10:58,System.Runtime,dotnet.thread_pool.thread.count ({thread} / 1 sec),Rate,1
09/05/2026 19:10:58,System.Runtime,dotnet.jit.compiled_methods ({method} / 1 sec),Rate,581
09/05/2026 19:10:58,System.Runtime,dotnet.gc.last_collection.memory.committed_size (By),Metric,10764288
09/05/2026 19:10:58,System.Runtime,dotnet.process.cpu.count ({cpu}),Metric,16
09/05/2026 19:10:58,System.Runtime,dotnet.assembly.count ({assembly}),Metric,144
09/05/2026 19:10:58,System.Runtime,dotnet.thread_pool.queue.length ({work_item} / 1 sec),Rate,0
09/05/2026 19:10:58,System.Runtime,dotnet.timer.count ({timer}),Metric,2
09/05/2026 19:10:58,System.Runtime,dotnet.monitor.lock_contentions ({contention} / 1 sec),Rate,5
09/05/2026 19:10:58,System.Runtime,dotnet.gc.pause.time (s / 1 sec),Rate,0
